Symbol,Name,매출총이익(천원),EBIT(천원),수정EPS(원),수정BPS(원),총자산(천원),총자본(천원),매출총이익/총자산,영업이익(EBIT)/총자본,PER,PBR,Price
A267260,HD현대일렉트릭,610417931.56,315218290.72,7189.27,29499.79,2910160077.69,1057030326.17,0.2097540737499676,0.2982112082461711,11.43370606473258,2.786460513786708,82200
A454910,두산로보틱스,14660212.75,-19167549.52,-300.18,6769.64,456422079.72,438808093.39,0.0321198587916552,-0.0436809389086733,-386.7679392364581,17.150099562162833,116100
A051900,LG생활건강,3626918288.48,486981224.74,8057.14,310664.92,7220285811.72,5548926465.8,0.5023233682235639,0.0877613404577331,44.06029931216288,1.1427102873411006,355000
A005070,코스모신소재,58205791.9,32324547.76,862.24,14732.48,672673343.82,478782330.14,0.0865290596613491,0.0675140783715807,170.83410651326776,9.99831664458394,147300
A267250,HD현대,4965260245.0,2031563587.0,3348.15,98959.51,67982820888.0,23231837100.0,0.0730369846402834,0.0874473929140971,18.905962994489492,0.6396555520535622,63300
A034220,LG디스플레이,345176000.0,-2510164000.0,-7177.35,18987.85,35759298000.0,8770544000.0,0.0096527621990789,-0.2862039116387763,-1.640716977714616,0.6201860663529574,11776
A361610,SK아이이테크놀로지,153474096.0,32027920.0,1152.33,33825.28,4083815083.0,2411660766.0,0.0375810591030132,0.0132804416158089,68.46996953997554,2.3325749262090367,78900
A377300,카카오페이,615362834.4,-56589696.68,18.78,13980.73,3966486618.37,1934775610.06,0.1551405295432155,-0.0292487130733703,2625.133120340788,3.526282247064352,49300
A241560,두산밥캣,2376529670.0,1389900019.0,9191.89,59438.86,10371753748.0,5954812552.0,0.2291347951119905,0.2334078540445718,5.483094336420475,0.8479301251740023,50400
A011170,롯데케미칼,781293639.26,-347702499.47,-1186.74,363365.86,33476310224.54,20232540579.85,0.0233387023247044,-0.017185310865818,-129.09314592918415,0.4216136320566825,153200
A251270,넷마블,2502055599.77,-68468184.31,-2974.53,62649.54,7915865389.29,5079044788.53,0.3160811202215779,-0.0134805238309025,-19.532497571044836,0.9273811108589144,58100
A006800,미래에셋증권,1887369255.44,521036811.62,429.76,15097.78,128177312090.95,11238866114.38,0.0147246749416994,0.0463602650229403,17.75409530900968,0.505372313015556,7630
A047810,한국항공우주,463850368.09,247510483.16,2298.25,16387.91,7139576928.72,1619940517.27,0.0649688871933144,0.1527898589616835,21.755683672359403,3.051029692010757,50000
A302440,SK바이오사이언스,142242801.9,-11987764.77,290.65,22177.6,1852439180.08,1703855316.37,0.0767867595490271,-0.0070356706081942,247.720626182694,3.2465190101724266,72000
A028050,삼성E&A,1450761836.05,993128866.19,3846.01,17720.68,7801398613.12,3298338295.97,0.1859617624986091,0.3010997590524392,7.540282006547044,1.6365060483006295,29000
A029780,삼성카드,2710575608.62,810006981.36,5260.18,73708.21,28806533713.37,8135890561.8,0.0940958615705276,0.0995597193948479,6.149979658490774,0.4388927637776035,32350
A068760,셀트리온제약,119710205.1,36070715.96,511.5,9453.67,641643568.13,376665735.6,0.1865680746226168,0.0957631994387333,180.25415444770283,9.7528261511138,92200
A009830,한화솔루션,2238876997.92,604528962.9,-1171.13,45611.0,24492909473.81,9010546154.81,0.091409189272267,0.067091267556217,-33.72810874966912,0.8660191620442437,39500
A078930,GS,6713700000.0,3721802000.0,13734.41,142034.64,34448425000.0,17625195000.0,0.1948913484433613,0.2111637346423684,2.9779218765130793,0.2879579235037312,40900
A011070,LG이노텍,1863315858.34,830824122.83,23881.28,199217.23,11204305524.02,4714574536.06,0.166303556641274,0.1762246235530566,10.028775677015638,1.2022052510217112,239500
A004020,현대제철,2132493907.74,798325068.07,3456.05,143973.17,35218841930.04,19496000328.02,0.060549802062659,0.0409481460113966,10.561189797601306,0.2535194578267603,36500
A032640,LG유플러스,14372626000.0,998031000.0,1426.38,19633.48,20100605000.0,8756785000.0,0.7150344977178548,0.1139723083300549,7.1720018508391865,0.521048739194478,10230
A403870,HPSP,118588913.85,95206074.43,989.26,3390.76,320687606.64,277080288.65,0.3697957494912688,0.3436046457648297,44.32606190485818,12.932203989666032,43850
A097950,CJ제일제당,6052577321.0,1291582413.0,23558.55,442681.69,29606279551.0,11779942250.0,0.2044355931508984,0.1096425080521935,13.752968667426476,0.7319028713385458,324000
A011790,SKC,21691589.16,-216300854.73,-7276.11,43960.74,7032322131.68,2524424248.94,0.0030845556778864,-0.0856832423554892,-12.451708399130856,2.0609298205626203,90600
A005940,NH투자증권,1678477000.0,725757000.0,1587.39,21756.18,56697893000.0,7613428000.0,0.0296038690538288,0.0953259162626874,6.50753753015957,0.4748076178814479,10330
A128940,한미약품,829249343.22,220691065.03,11414.51,77705.86,1898668375.96,1100210644.15,0.4367531232518248,0.2005898290508735,30.88174612839272,4.536337413935062,352500
A348370,엔켐,50065599.41,3047263.24,-2822.21,15315.6,862895279.4,286448635.3,0.0580204812857619,0.010638079098574,-28.16941333210498,5.190785865392149,79500
A036570,엔씨소프트,1779832977.76,137283512.8,9662.88,176065.14,4393800423.9,3253028540.55,0.4050782479965703,0.0422017547921018,24.88905999039624,1.3659717079712654,240500
A021240,코웨이,2571479957.82,731255078.05,6386.23,36464.08,4850965736.39,2637754784.46,0.5300964998638907,0.2772263298916552,8.956771052718114,1.5686670279354369,57200
A307950,현대오토에버,339217687.0,181413573.0,5023.5,57614.95,2843057165.0,1592312483.0,0.1193144095644661,0.1139308866424304,42.10212003583159,3.670922217237019,211500
A011780,금호석유,645865924.89,358961881.96,13880.38,185837.33,7979694633.68,5834019542.3,0.080938676796476,0.061529084597218,9.574665823269967,0.7151415703185147,132900
A071050,한국금융지주,980479114.72,820404542.96,11479.75,136784.95,95901185591.11,8445052101.35,0.0102238476894376,0.0971461789831767,5.3398375400161155,0.4481487181155529,61300
